Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	462957	4661	655794	19006	4463	117353	5440	1510878	0.028165382335506816
red	1	1070829	11308	1063894	32181	11711	213226	9448	1852253	0.029360217138425748
red	2	1451334	15407	731368	19964	13885	78429	3531	2424530	0.026571475725777685
red	3	743525	7864	600848	17033	6556	90199	4133	1757546	0.027566796842757747
blue	0	159299	1740	6349	315	1064	1970	91	167802	0.04726890756302521
blue	1	111221	1284	5123	215	752	1410	61	120041	0.040277257399775196
blue	2	215802	2405	7269	347	1260	2542	101	206726	0.045561974789915964
blue	3	154684	1750	6361	309	1076	1656	78	160314	0.04632683658170914
blue	4	170603	1971	7719	291	1740	2337	93	157664	0.036329588014981276
blue	5	75788	807	11798	593	1077	4202	191	84726	0.047857315793721246
blue	6	140064	1449	9160	373	742	2152	97	161857	0.03912724221126613
blue	7	76968	832	3298	209	495	992	46	91503	0.05959509552323924
blue	8	67536	745	5149	299	573	2090	101	76705	0.054882525697503674
blue	9	110742	1218	9643	666	1018	4951	241	470307	0.06460374430109612
blue	10	423893	4522	39279	654	3186	5934	275	659260	0.016377432198933214
blue	11	36382	438	2645	87	410	550	28	47854	0.03184480234260615
blue	12	14568	142	945	16	132	263	13	21188	0.01664932362122789
blue	13	29071	331	2218	41	291	489	20	38628	0.01814962372731297
blue	14	22613	236	1583	26	194	604	42	30439	0.016159105034182723
blue	15	24186	264	2109	52	216	373	30	38978	0.024062933826931976
blue	16	31998	327	3021	54	308	517	33	48495	0.0175609756097561
blue	17	12275	133	997	21	137	182	13	17227	0.0206286836935167
blue	18	40104	441	2702	61	393	1089	45	46350	0.022077452044878754
