Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	434038	4439	194304	4486	968	23231	1056	927807	0.0225665274913225
red	1	591028	6413	355077	8162	8218	148148	6700	1104581	0.022470054151674242
red	2	516903	5304	437730	8289	3584	60475	2788	1425881	0.01858441008118488
red	3	486448	4903	296875	45368	413	58309	2658	1218165	0.1325607828355876
red	4	395610	3997	526003	10154	2234	90146	4093	927025	0.01893848257133638
blue	0	68015	698	19168	161	185	1438	64	163685	0.00832945315329298
blue	1	21553	227	1590	12	0	559	31	40499	0.00749063670411985
blue	2	14345	149	926	9	7	458	16	20110	0.009625668449197862
blue	3	46034	456	3249	28	9	1323	55	60269	0.008544400366188587
blue	4	46621	515	2887	19	4	1540	81	61805	0.00653819683413627
