Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	105	1	108	0	0	3	0	372	0.0
red	1	46	0	167	4	0	3	0	224	0.023391812865497075
red	2	45	1	63	1	0	0	0	185	0.015625
red	3	100	0	352	3	0	7	0	464	0.008450704225352112
red	4	48	1	58	1	0	3	0	181	0.01694915254237288
red	5	43	0	140	2	0	6	0	214	0.014084507042253521
red	6	40	0	173	2	0	3	0	214	0.011428571428571429
red	7	49	2	65	0	0	2	0	187	0.0
red	8	52	0	97	1	0	4	0	187	0.01020408163265306
red	9	39	0	214	4	0	2	0	250	0.01834862385321101
red	10	69	1	177	0	1	7	0	213	0.0
red	11	86	1	389	5	0	7	0	472	0.012690355329949238
red	12	39	0	150	2	0	6	0	196	0.013157894736842105
red	13	25	0	24	1	0	3	0	199	0.04
red	14	53	0	43	0	0	2	1	378	0.0
red	15	22	0	19	0	0	1	0	175	0.0
red	16	12	0	12	0	0	0	0	159	0.0
red	17	47	1	104	3	0	5	2	353	0.028037383177570093
red	18	19	0	37	1	1	0	0	426	0.02631578947368421
red	19	116	1	472	9	0	35	1	1004	0.018711018711018712
red	20	10	0	22	0	0	2	0	136	0.0
red	21	14	0	48	0	0	3	0	252	0.0
red	22	50	3	211	7	0	9	2	273	0.03211009174311927
red	23	19	0	63	1	0	2	0	331	0.015625
red	24	18	0	88	0	0	5	0	259	0.0
red	25	25	0	90	2	0	6	1	355	0.021739130434782608
red	26	7	0	20	0	0	1	0	110	0.0
green	0	105	1	108	0	0	3	0	372	0.0
green	1	46	0	167	4	0	3	0	224	0.023391812865497075
green	2	45	1	63	1	0	0	0	185	0.015625
green	3	100	0	352	3	0	7	0	464	0.008450704225352112
green	4	48	1	58	1	0	3	0	181	0.01694915254237288
green	5	43	0	140	2	0	6	0	214	0.014084507042253521
green	6	40	0	173	2	0	3	0	214	0.011428571428571429
green	7	49	2	65	0	0	2	0	187	0.0
green	8	52	0	97	1	0	4	0	187	0.01020408163265306
green	9	39	0	214	4	0	2	0	250	0.01834862385321101
green	10	69	1	177	0	1	7	0	213	0.0
green	11	86	1	389	5	0	7	0	472	0.012690355329949238
green	12	39	0	150	2	0	6	0	196	0.013157894736842105
green	13	25	0	24	1	0	3	0	199	0.04
green	14	53	0	43	0	0	2	1	378	0.0
green	15	22	0	19	0	0	1	0	175	0.0
green	16	12	0	12	0	0	0	0	159	0.0
green	17	47	1	104	3	0	5	2	353	0.028037383177570093
green	18	19	0	37	1	1	0	0	426	0.02631578947368421
green	19	116	1	472	9	0	35	1	1004	0.018711018711018712
green	20	10	0	22	0	0	2	0	136	0.0
green	21	14	0	48	0	0	3	0	252	0.0
green	22	50	3	211	7	0	9	2	273	0.03211009174311927
green	23	19	0	63	1	0	2	0	331	0.015625
green	24	18	0	88	0	0	5	0	259	0.0
green	25	25	0	90	2	0	6	1	355	0.021739130434782608
green	26	7	0	20	0	0	1	0	110	0.0
blue	0	29558	350	171190	2449	92	2864	144	136205	0.014103974337562414
blue	1	38106	360	196833	3138	357	7792	335	210256	0.01569227537993009
