Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
blue	0	63948	650	4484	23	12	586	23	162924	0.005103172842245396
blue	1	157593	1478	5464	16	33	894	45	420477	0.00291970802919708
blue	2	414519	3989	21150	92	24	2473	105	1208074	0.004331042274738725
blue	3	187489	1743	13074	50	26	1129	66	536307	0.0038098140810728437
blue	4	131768	1318	6932	24	7	596	18	427625	0.0034502587694077054
blue	5	83018	830	3616	10	10	712	28	265611	0.0027578599007170436
blue	6	63759	577	1972	9	10	459	16	187234	0.004543160020191822
blue	7	149297	1511	17928	75	31	1382	58	398898	0.004165972337943676
blue	8	67211	641	5552	21	18	965	41	227180	0.0037681679526287456
blue	9	281693	2875	53810	204	45	11593	519	886619	0.0037767986077683565
blue	10	67977	736	4470	11	9	585	21	360123	0.002454809194376255
blue	11	36160	387	1976	8	3	267	8	274708	0.004032258064516129
blue	12	38309	396	2987	11	5	152	6	218614	0.003669112741827885
blue	13	107102	1056	12164	47	21	1574	73	514986	0.0038489886168208993
