Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	1123367	11456	46234	201	68	3320	139	3092602	0.004328631420264887
blue	0	43133	434	44618	163	20	2003	88	186999	0.0036399365802460867
blue	1	84137	809	3025	13	23	693	37	179132	0.004279131007241606
blue	2	74087	688	1629	6	6	270	10	158327	0.003669724770642202
blue	3	55661	570	1022	4	3	148	5	116677	0.003898635477582846
blue	4	135117	1386	4554	12	16	446	28	374234	0.002628120893561104
blue	5	154101	1531	3646	11	9	813	34	379764	0.0030079299972655183
blue	6	127026	1403	6701	22	21	1159	61	360408	0.003272348653874758
blue	7	60361	621	1660	10	3	176	10	133209	0.005988023952095809
blue	8	40876	429	2755	8	1	170	10	142328	0.002895403546869345
blue	9	38789	401	770	3	3	100	7	77678	0.0038809831824062097
blue	10	95626	1006	5843	17	17	437	21	225703	0.002901023890784983
