Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C
red	0	460372	4795	328964	1611	4094	62060	2756	1063590	0.004873326779097028
red	1	357931	3720	142420	704	1329	17006	734	1211581	0.004918811659819457
red	2	169292	1748	106338	449	742	12981	571	690790	0.004204631649919934
red	3	610480	6243	298762	1258	2495	59512	2647	1742950	0.004193053796413573
red	4	242242	2457	92969	513	808	20884	913	626370	0.005487687469245417
red	5	73610	751	47597	178	272	11571	486	449535	0.0037257980115122974
red	6	552219	5782	208541	852	1181	36699	1655	1357097	0.004068903927065375
red	7	278074	2845	96225	517	463	15734	695	856277	0.005344111140972897
red	8	778347	8051	239192	1234	1154	25949	1204	2449508	0.005132556379093775
red	9	132634	1257	37321	215	221	5551	271	513015	0.005727834612105712
red	10	275779	2817	112886	542	577	6239	301	757109	0.004778361603836795
red	11	149113	1484	101794	427	319	17752	748	1074389	0.004177223858111347
red	12	297568	3107	108554	470	443	9853	433	797915	0.004310977399471676
red	13	210357	2119	137415	638	280	17078	771	1149956	0.0046214135150992736
red	14	1799230	18571	273291	1076	168	6091	283	5401138	0.0039217544383982035
red	15	274543	2746	267991	1046	59	2479	107	1640792	0.0038879410638685387
