	GB19-0250	GB19-0251	GB19-0252	GB19-0253	GB19-0254	MLW-0517-0-5	MLW-0517-10	MLW-0517-20	MLW-0517-25	MLW-0517-30	MLW-0518-00	MLW-0518-05	MLW-0518-10	MLW-0518-12	MLW-0518-17	MLW-0518-20	MLW-0518-25	MLW-0518-35	MLW-0519-05	MLW-0519-12	MLW-0519-15	MLW-0519-17	MLW-0519-25	MLW-0519-35	MLW-0521-05	MLW-0521-10	MLW-0521-14	MLW-0521-18	MLW-0521-22	MLW-0521-27	MLW-0521-35	MLW-0617-0-5m	MLW-0617-10m	MLW-0617-15m	MLW-0617-20m	MLW-0617-27m	MLW-0917-05-1	MLW-0917-05-2	MLW-0917-05-3	MLW-0917-10-1	MLW-0917-10-2	MLW-0917-10-3	MLW-0917-15-1	MLW-0917-15-2	MLW-0917-15-3	MLW-0917-20-1	MLW-0917-20-2	MLW-0917-20-3	MLW-0917-24-1	MLW-0917-24-2	MLW-0917-24-3	MLW-0917-5-1	MLW-0917-5-2	MLW-0917-5-3	MLW-0919-00	MLW-0919-10	MLW-0919-16	MLW-0919-17	MLW-0919-18	MLW-0919-20	MLW-0919-30	MLW-0920-05	MLW-0920-10	MLW-0920-15	MLW-0920-18	MLW-0920-20	MLW-0920-22	MLW-0920-25	MLW-0920-30	MLW-1018-00	MLW-1018-05	MLW-1018-12	MLW-1018-15	MLW-1018-17	MLW-1018-20	MLW-1018-30	MLW-1018-35	MLW-DNAexBlank-50cyc
ASV_1	9184	9736	6527	9178	2173	27815	33712	35707	35923	35518	14386	10359	16918	13373	12880	10738	11696	12535	19902	14542	12712	11088	8546	7668	41	10389	23706	9305	8409	10467	3604	8699	27734	15697	24304	15736	21616	19646	16481	18008	17489	17414	17550	16512	18676	23651	23059	24569	23763	19737	29667	19710	18054	17565	2075	5514	6764	4516	3775	6382	1805	1419	3070	2994	1638	557	462	488	324	5735	3960	5722	9649	9385	8687	7707	9736	0
ASV_2	10491	8139	5312	8784	4356	23288	21904	21140	22784	22462	14563	10994	16568	14970	15950	11243	12335	13892	15681	11338	13239	9168	8330	7796	17	6897	14993	6280	5168	6799	2308	8904	22110	11450	18375	12344	23546	19603	15364	18698	16230	13156	16467	15519	16614	23405	20638	21388	22017	18349	28200	19784	18755	16939	4048	6820	6526	4328	3560	6920	1923	3548	8370	5363	3005	886	933	1123	1301	7700	5288	6289	8909	8352	7661	6759	8856	0
ASV_3	255	84	115	25	20	33	52	66	63	82	12	3	10	11	567	222	242	277	39	72	51	174	417	479	6	93	67	28	17	10	20	27	34	3	3	2	448	286	689	29	54	28	37	41	16	61	49	62	40	33	93	67	96	85	3523	1805	383	315	299	776	266	12986	20623	5822	3566	941	1171	1659	2235	4117	4374	2855	816	484	612	465	487	0
ASV_4	700	526	415	572	348	2156	1569	1583	1680	1526	809	557	852	936	1069	672	781	876	1026	715	736	558	572	507	0	572	1110	463	351	509	169	373	711	388	619	503	1646	1408	999	1094	916	763	954	912	1017	1334	1228	1309	1331	1096	1373	1367	1300	1106	335	435	434	273	225	499	130	100	204	91	74	14	25	27	32	500	416	392	520	532	435	469	570	0
ASV_5	165	370	311	1863	2890	7997	3021	2439	2583	2820	311	273	311	161	105	62	40	68	1234	457	132	221	106	102	302	1574	1371	334	196	214	111	2518	798	129	143	117	899	491	1102	246	284	153	148	140	84	87	123	120	89	86	94	1101	934	1313	887	763	162	93	63	126	27	753	920	513	330	78	113	86	66	767	1189	736	177	98	91	95	85	0
ASV_6	64	371	234	1788	4563	2654	1311	1022	1139	1418	26	44	54	38	13	36	43	34	412	123	39	48	14	15	5526	4009	2182	2004	1680	3912	1324	845	170	80	153	97	948	213	992	87	103	85	107	86	79	69	119	108	99	106	95	108	95	154	857	214	28	24	7	16	2	619	418	172	68	9	27	10	4	767	639	285	112	96	74	27	102	0
ASV_7	151	473	270	203	23	291	1115	6043	6152	6957	9	16	65	173	274	131	180	193	233	1109	811	577	277	194	0	53	186	93	78	137	111	6	214	220	2549	2709	148	147	63	155	134	173	536	503	649	1092	1192	1169	1104	1099	1188	10	19	12	33	87	304	228	162	236	69	41	324	286	247	34	71	25	17	84	62	59	231	192	182	111	114	0
ASV_8	124	270	174	1252	3607	5272	1914	1683	1702	1808	64	45	23	29	31	42	39	44	890	213	90	106	39	43	1228	1150	544	448	486	750	381	4377	656	172	233	207	1831	395	2269	166	155	152	167	108	103	73	148	117	74	120	96	369	268	431	1340	278	72	39	27	46	11	827	445	100	53	12	11	9	5	815	901	680	68	32	23	21	32	0
ASV_9	476	342	190	273	181	788	620	586	674	577	1344	1179	1843	1304	580	398	375	463	504	381	429	330	315	282	0	140	350	114	94	182	40	197	324	137	327	201	687	593	489	388	349	293	357	346	327	513	455	494	465	395	546	1093	969	873	173	224	204	168	150	259	99	35	59	21	17	7	0	0	11	725	458	544	560	364	262	206	255	0
ASV_10	233	1012	577	45	13	9	18	123	142	138	0	0	0	35	95	143	118	142	29	85	262	641	143	39	0	6	4	0	0	0	1	3	39	10	212	132	576	950	457	1323	1345	1198	1033	1245	1104	1506	1498	1504	1286	1228	1462	21	16	16	6	82	174	113	104	120	20	24	94	98	71	15	25	12	10	53	48	23	400	239	206	153	158	0
