	domain	phylum	class	order	family	genus	species
ASV_1	NA	NA	NA	NA	NA	NA	NA
ASV_2	NA	NA	NA	NA	NA	NA	NA
ASV_3	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus MBIC10613	NA
ASV_4	NA	NA	NA	NA	NA	NA	NA
ASV_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_6	Bacteria	NA	NA	NA	NA	NA	NA
ASV_7	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thioalkalivibrio	NA
ASV_8	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter	NA
ASV_9	NA	NA	NA	NA	NA	NA	NA
ASV_10	Bacteria	Firmicutes	Clostridia	NA	Hungateiclostridiaceae	NA	NA
ASV_11	Bacteria	NA	NA	NA	NA	NA	NA
ASV_12	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_13	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_14	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_15	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Salinarimonas	NA
ASV_16	Eukaryota	NA	Incertae Sedis_3	NA	NA	Picocystis	NA
ASV_17	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	NA	NA
ASV_18	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta	NA
ASV_19	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA
ASV_20	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Nitrococcaceae	Spiribacter	NA
ASV_21	Bacteria	Bacteroidota	Bacteroidia	ML602M-17	NA	NA	NA
ASV_22	NA	NA	NA	NA	NA	NA	NA
ASV_23	NA	NA	NA	NA	NA	NA	NA
ASV_24	Bacteria	NA	NA	NA	NA	NA	NA
ASV_25	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Dethiobacter	NA
ASV_26	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_27	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-40 aquatic group	NA	NA
ASV_28	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	NA	Pseudobacteriovorax	NA
ASV_29	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter	NA
ASV_30	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Nitrococcales Incertae Sedis	Methylonatrum	NA
ASV_31	NA	NA	NA	NA	NA	NA	NA
ASV_32	Bacteria	Actinobacteriota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	NA	NA
ASV_33	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	Izimaplasma	NA
ASV_34	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_35	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV_36	NA	NA	NA	NA	NA	NA	NA
ASV_37	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA
ASV_38	NA	NA	NA	NA	NA	NA	NA
ASV_39	NA	NA	NA	NA	NA	NA	NA
ASV_40	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	NA
ASV_41	Bacteria	Firmicutes	NA	NA	NA	NA	NA
ASV_42	NA	NA	NA	NA	NA	NA	NA
ASV_43	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
ASV_44	Bacteria	NA	NA	NA	NA	NA	NA
ASV_45	Bacteria	Firmicutes	Dethiobacteria	Dethiobacterales	Dethiobacteraceae	Candidatus Contubernalis	NA
ASV_46	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	NA
ASV_47	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	NA	NA
ASV_48	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_49	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_50	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum	NA
ASV_51	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	ML310M-34	NA
ASV_52	NA	NA	NA	NA	NA	NA	NA
ASV_53	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Brumimicrobium	NA
ASV_54	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	F1-37X2	NA
ASV_55	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_56	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfonatronobacter	NA
