N_source	light	med_gen_d	med_mu_d	mean_gen_d
CN	dark	826.9500060924868	1.9917134100627345e-4	5156.510891167367
CN	light	1522.3766350874562	1.0528277143162448e-4	5467.604648179445
gly	dark	589.1467187625044	0.0011777839674600183	930.4935226504725
gly	light	111.66811325276825	0.006207207772830909	110.39544941759719
HPG	light	5065.631760955928	1.368333138429988e-4	5303.604588624437
NH4	dark	47.9942708181639	0.014465386985322987	174.7271885901119
NH4	light	1.8926115393600336	0.36623848378010293	8.080673692261982
no3	dark	3271.72585880729	2.127893728945513e-4	3770.5464757360332
no3	light	71.3175937247473	0.007302679565994291	89.27926614691565
TMA	dark	3859.5991735377274	1.7962169991747612e-4	3884.6263657011523
TMA	light	2192.2650117837684	3.175222214200352e-4	3935.3722559516905
