Group	ROI	12C	13C	14N_12C	15N_12C	31P	32S	34S	SE	Ratio_15N_12Cx14N_12C	filename	sample	layer	atom % N15	notes	N_source	light	incubation_time_hr	cell_type	cell_type_other	mu_d	gen_d	median_mu_d	median_gen_d
red	0	7692870	81630	769335	2901	1309	133310	5906	11880832	0.0037566236228303265	1_CN_light_chain2_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Picocystis	Picocystis	5.874633622172763e-5	11798.985692380615	1.0528277143162448e-4	1522.3766350874562
red	1	5421421	57308	589241	2198	1380	159254	6941	9780419	0.0037163595907608394	1_CN_light_chain2_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Picocystis	Picocystis	3.846274121091978e-5	18021.263142918087	1.0528277143162448e-4	1522.3766350874562
blue	0	553515	5935	88941	359	150	10528	443	1048372	0.004020156774916014	1_CN_light_chain2_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	1.9154566659224323e-4	3618.7045778252796	1.0528277143162448e-4	1522.3766350874562
blue	1	985215	10570	94778	355	263	17104	777	1516020	0.0037316178402867564	1_CN_light_chain2_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	4.6149113904832453e-5	15019.728915908028	1.0528277143162448e-4	1522.3766350874562
blue	2	1851684	19650	1753653	12111	20884	256457	11370	2832207	0.006858787471032369	1_CN_light_chain2_1.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	0.0016264754321021948	426.16517094516644	1.0528277143162448e-4	1522.3766350874562
red	0	4774159	49723	1798080	13140	3022	176625	7583	12558414	0.00725477854705668	1_CN_light_chain2_2.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Picocystis	Picocystis	0.0018273054078835518	379.3274936797633	1.0528277143162448e-4	1522.3766350874562
red	0	7393259	78017	2535672	25564	21557	584673	26096	11187109	0.009981118491228454	1_CN_light_chain2_3.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Picocystis	Picocystis	0.0032143864631949256	215.63903049510563	1.0528277143162448e-4	1522.3766350874562
blue	0	1380422	14699	150733	571	416	16807	759	2333582	0.00377385925025115	1_CN_light_chain2_3.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	6.74295386401298e-5	10279.577682701627	1.0528277143162448e-4	1522.3766350874562
blue	1	1167079	12612	44057	206	188	13096	579	1613073	0.004653999954815535	1_CN_light_chain2_3.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	5.112403817951613e-4	1355.8146133254172	1.0528277143162448e-4	1522.3766350874562
blue	2	701304	7526	41563	184	161	16677	756	1137139	0.004407502335497161	1_CN_light_chain2_3.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	3.868645375968008e-4	1791.7051401655206	1.0528277143162448e-4	1522.3766350874562
blue	3	178045	1919	16299	61	60	3108	143	337206	0.003728606356968215	1_CN_light_chain2_3.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	4.463205464335107e-5	15530.254793304812	1.0528277143162448e-4	1522.3766350874562
blue	4	1230749	12903	60703	234	247	13911	641	1617201	0.0038400315079508344	1_CN_light_chain2_3.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	1.0076951447287574e-4	6878.54044138042	1.0528277143162448e-4	1522.3766350874562
blue	5	269956	2817	34213	127	150	3155	137	352063	0.003698311007571345	1_CN_light_chain2_3.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	2.937103762795669e-5	23599.683107558183	1.0528277143162448e-4	1522.3766350874562
blue	6	182667	1889	10591	39	110	1355	61	247303	0.003668861712135466	1_CN_light_chain2_3.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	1.4537105767570935e-5	47681.236667219084	1.0528277143162448e-4	1522.3766350874562
blue	7	817087	8486	204364	787	629	29046	1367	1199070	0.003836198702419194	1_CN_light_chain2_3.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	9.88382871616247e-5	7012.942053786107	1.0528277143162448e-4	1522.3766350874562
red	0	5512548	58994	4874277	44449	18112	611976	26721	9025279	0.009036689581814477	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Picocystis	Picocystis	0.002733017275776309	253.61975817114367	1.0528277143162448e-4	1522.3766350874562
blue	0	127320	1415	1928	7	89	2088	99	213703	0.0036175710594315244	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	0	0	1.0528277143162448e-4	1522.3766350874562
blue	1	489996	5241	25279	107	353	5063	206	716849	0.0042149216103364055	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	2.897366963813643e-4	2392.334796444266	1.0528277143162448e-4	1522.3766350874562
blue	2	436811	4871	7529	33	132	6099	269	435198	0.004363924887595874	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	3.648830042117803e-4	1899.642275905069	1.0528277143162448e-4	1522.3766350874562
blue	3	340915	3643	6486	17	123	4315	193	361526	0.002614178071659234	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	0	0	1.0528277143162448e-4	1522.3766350874562
blue	4	190152	2103	3869	21	72	3832	189	199294	0.005398457583547558	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	8.872490777805242e-4	781.2317847586501	1.0528277143162448e-4	1522.3766350874562
blue	5	215248	2361	4015	16	70	2563	143	216098	0.003969238402381543	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	1.6588143864364348e-4	4178.569864281235	1.0528277143162448e-4	1522.3766350874562
blue	6	260313	2925	39029	134	222	5980	251	340010	0.003421596915455915	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	0	0	1.0528277143162448e-4	1522.3766350874562
blue	7	203868	2199	10074	34	98	3087	143	185610	0.0033636723387415906	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	0	0	1.0528277143162448e-4	1522.3766350874562
blue	8	346675	3735	370823	1916	3073	16244	708	460257	0.00514032607266747	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	7.568086358145303e-4	915.8817008132206	1.0528277143162448e-4	1522.3766350874562
blue	9	270693	2878	10036	42	155	3985	166	260173	0.004167493550307601	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	2.6582220515505286e-4	2607.5593653119977	1.0528277143162448e-4	1522.3766350874562
blue	10	211233	2232	20265	78	84	3560	150	279583	0.0038342427370594307	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	9.785274493781633e-5	7083.574211438095	1.0528277143162448e-4	1522.3766350874562
blue	11	171547	1950	3063	15	75	977	44	285360	0.004873294346978557	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	6.219422691287196e-4	1114.4879757585488	1.0528277143162448e-4	1522.3766350874562
blue	12	2231952	23717	189554	786	541	30729	1332	3005779	0.004129452558579385	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	2.466425769399437e-4	2810.330597254193	1.0528277143162448e-4	1522.3766350874562
blue	13	265037	2856	9739	37	115	3361	151	259674	0.0037847790507364977	1_CN_light_chain2_4.im_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	CN	light	96	Other	Other	7.293102261047287e-5	9504.147285333822	1.0528277143162448e-4	1522.3766350874562
red	0	1942440	20451	3731091	134599	29148	458298	20352	3243672	0.034818880975970655	GB21_D2_NH4_dark_A_1_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.016218659219572478	42.73763762934632	0.014465386985322987	47.9942708181639
red	0	713892	7507	1659038	17740	7446	227925	10121	2213336	0.010579814382106636	GB21_D2_NH4_dark_chainovernight_10_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.0035200185262495953	196.91577626395596	0.014465386985322987	47.9942708181639
red	0	785501	8109	1645624	70337	10454	174289	7890	1824724	0.040989859326639705	GB21_D2_NH4_dark_chainovernight_11_f0_ratio15N_12C-x-14N_12C.tsv	NA	NA	NA	NA	NH4	dark	96	Picocystis	Picocystis	0.019557291779908975	35.44187959971068	0.014465386985322987	47.9942708181639
